match distances
229.469
131.008
171.172
264.216
239.412
142.695
138.881
175.223
185.456
258.399
154.11
154.007
190.512
138.546
148.966
125.136
256.187
243.98
172.667
202.64
218.536
282.044
162.776
103.566
98.3311
147.736
244.506
205.735
296.779
162.496
198.799
126.685
201.559
186.786
154.994
134.004
142.902
136.14
158.376
130.426
212.123
211.485
187.713
122.715
135
180.011
239.036
209.117
77.756
133.757
245.835
203.676
223.202
110.571
129.178
104.288
118.144
161.329
127.208
80.4984
166.712
139.828
157.915
130.836
120.379
222.76
112.552
81.7618
222.735
111.754
211.211
235.559
160.262
123.588
208.514
184.849
