match distances
109.023
135.643
109.554
143.335
310.516
261.052
181.579
236.742
292.07
240.281
179.031
210.076
156.029
122.906
90.6201
86.5332
143.052
218.458
229.939
115.395
171.528
94.2656
192.569
134.837
233.356
142.808
160.396
299.428
92.2117
80.4363
298.106
217.465
89.0562
251.046
126.858
200.022
123.883
188.955
174.846
238.47
214.516
135.864
113.982
107.233
110.734
91.8096
166.826
118.554
214.408
242.771
249.026
175.986
195.277
117.077
136.004
179.881
171.094
126.4
110.707
175.217
157.962
173.263
195.215
161.459
68.8113
72.5672
252.042
97.5961
223.28
160.832
166.493
275.617
183.823
223.721
185.095
164.624
135.396
138.072
115.585
152.312
128.324
216.051
88.9888
74.411
206.691
188.399
230.565
