match distances
49
35
44
37
77
45
48
50
56
44
68
68
95
49
99
47
95
49
84
106
60
25
22
92
85
81
48
37
104
38
88
40
43
40
89
106
42
85
38
63
50
78
36
103
51
67
52
62
59
82
44
55
69
51
67
92
38
57
37
50
62
42
42
76
60
40
36
66
45
32
69
81
93
50
83
52
68
43
32
47
45
34
47
67
45
61
77
100
85
98
92
126
108
111
